,0,1,SAL_CODE
74,Cloverdale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50301/download/GCP_SAL50301.xlsx,50301
75,Cockburn Central,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50304/download/GCP_SAL50304.xlsx,50304
76,Como,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50316/download/GCP_SAL50316.xlsx,50316
77,Connolly,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50318/download/GCP_SAL50318.xlsx,50318
78,Coodanup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50320/download/GCP_SAL50320.xlsx,50320
79,Coogee,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50321/download/GCP_SAL50321.xlsx,50321
80,Coolbellup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50324/download/GCP_SAL50324.xlsx,50324
81,Coolbinia,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50325/download/GCP_SAL50325.xlsx,50325
82,Cooloongup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50329/download/GCP_SAL50329.xlsx,50329
83,Cottesloe,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50343/download/GCP_SAL50343.xlsx,50343
84,Craigie,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50350/download/GCP_SAL50350.xlsx,50350
85,Crawley,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50353/download/GCP_SAL50353.xlsx,50353
86,Cullacabardee,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50361/download/GCP_SAL50361.xlsx,50361
87,Currambine,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50367/download/GCP_SAL50367.xlsx,50367
88,Daglish,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50371/download/GCP_SAL50371.xlsx,50371
89,Dalkeith,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50374/download/GCP_SAL50374.xlsx,50374
90,Darch,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50384/download/GCP_SAL50384.xlsx,50384
91,Darling Downs,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50389/download/GCP_SAL50389.xlsx,50389
92,Darlington,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50390/download/GCP_SAL50390.xlsx,50390
93,Dawesville,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50396/download/GCP_SAL50396.xlsx,50396
94,Dayton,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50397/download/GCP_SAL50397.xlsx,50397
95,Dianella,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50409/download/GCP_SAL50409.xlsx,50409
96,Doubleview,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50423/download/GCP_SAL50423.xlsx,50423
97,Dudley Park,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50431/download/GCP_SAL50431.xlsx,50431
98,Duncraig,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50438/download/GCP_SAL50438.xlsx,50438
99,East Cannington,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50453/download/GCP_SAL50453.xlsx,50453
100,East Fremantle,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50457/download/GCP_SAL50457.xlsx,50457
101,East Perth,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50464/download/GCP_SAL50464.xlsx,50464
102,East Rockingham,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50467/download/GCP_SAL50467.xlsx,50467
103,East Victoria Park,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50468/download/GCP_SAL50468.xlsx,50468
104,Eden Hill,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50473/download/GCP_SAL50473.xlsx,50473
105,Edgewater,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50474/download/GCP_SAL50474.xlsx,50474
106,Eglinton,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50476/download/GCP_SAL50476.xlsx,50476
107,Ellenbrook,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50482/download/GCP_SAL50482.xlsx,50482
108,Embleton,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50484/download/GCP_SAL50484.xlsx,50484
109,Erskine,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50491/download/GCP_SAL50491.xlsx,50491
110,Falcon,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50500/download/GCP_SAL50500.xlsx,50500
111,Ferndale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50502/download/GCP_SAL50502.xlsx,50502
112,Floreat,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50510/download/GCP_SAL50510.xlsx,50510
113,Forrestdale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50517/download/GCP_SAL50517.xlsx,50517
114,Forrestfield,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50518/download/GCP_SAL50518.xlsx,50518
115,Fremantle,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50522/download/GCP_SAL50522.xlsx,50522
116,Garden Island,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50529/download/GCP_SAL50529.xlsx,50529
117,Gidgegannup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50542/download/GCP_SAL50542.xlsx,50542
118,Girrawheen,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50550/download/GCP_SAL50550.xlsx,50550
119,Glen Forrest,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50552/download/GCP_SAL50552.xlsx,50552
120,Glendalough,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50556/download/GCP_SAL50556.xlsx,50556
121,Gnangara,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50561/download/GCP_SAL50561.xlsx,50561
122,Golden Bay,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50566/download/GCP_SAL50566.xlsx,50566
123,Gooseberry Hill,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50571/download/GCP_SAL50571.xlsx,50571
124,Gosnells,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50574/download/GCP_SAL50574.xlsx,50574
125,Greenfields,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50583/download/GCP_SAL50583.xlsx,50583
126,Greenmount,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50585/download/GCP_SAL50585.xlsx,50585
127,Greenwood,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50587/download/GCP_SAL50587.xlsx,50587
128,Guildford,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50594/download/GCP_SAL50594.xlsx,50594
129,Gwelup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50599/download/GCP_SAL50599.xlsx,50599
130,Hacketts Gully,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50601/download/GCP_SAL50601.xlsx,50601
131,Halls Head,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50603/download/GCP_SAL50603.xlsx,50603
132,Hamersley,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50607/download/GCP_SAL50607.xlsx,50607
133,Hamilton Hill,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50609/download/GCP_SAL50609.xlsx,50609
134,Hammond Park,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50610/download/GCP_SAL50610.xlsx,50610
135,Harrisdale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50613/download/GCP_SAL50613.xlsx,50613
136,Haynes,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50619/download/GCP_SAL50619.xlsx,50619
137,Hazelmere,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50620/download/GCP_SAL50620.xlsx,50620
138,Heathridge,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50622/download/GCP_SAL50622.xlsx,50622
139,Helena Valley,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50623/download/GCP_SAL50623.xlsx,50623
140,Henderson,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50624/download/GCP_SAL50624.xlsx,50624
141,Henley Brook,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50625/download/GCP_SAL50625.xlsx,50625
142,Herne Hill,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50628/download/GCP_SAL50628.xlsx,50628
143,Herron,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50629/download/GCP_SAL50629.xlsx,50629
144,High Wycombe,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50633/download/GCP_SAL50633.xlsx,50633
145,Highgate,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50635/download/GCP_SAL50635.xlsx,50635
146,Hilbert,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50636/download/GCP_SAL50636.xlsx,50636
147,Hillarys,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50638/download/GCP_SAL50638.xlsx,50638
148,Hillman,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50639/download/GCP_SAL50639.xlsx,50639
149,Hilton,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50641/download/GCP_SAL50641.xlsx,50641
150,Hocking,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50645/download/GCP_SAL50645.xlsx,50645
151,Hope Valley,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50652/download/GCP_SAL50652.xlsx,50652
152,Hopeland,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50653/download/GCP_SAL50653.xlsx,50653
153,Hovea,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50657/download/GCP_SAL50657.xlsx,50657
154,Huntingdale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50661/download/GCP_SAL50661.xlsx,50661
155,Iluka,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50664/download/GCP_SAL50664.xlsx,50664
156,Inglewood,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50668/download/GCP_SAL50668.xlsx,50668
157,Innaloo,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50670/download/GCP_SAL50670.xlsx,50670
158,Jandabup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50681/download/GCP_SAL50681.xlsx,50681
159,Jandakot,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50682/download/GCP_SAL50682.xlsx,50682
160,Jane Brook,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50683/download/GCP_SAL50683.xlsx,50683
161,Jarrahdale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50686/download/GCP_SAL50686.xlsx,50686
162,Jindalee,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50696/download/GCP_SAL50696.xlsx,50696
163,Jolimont,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50700/download/GCP_SAL50700.xlsx,50700
164,Joondalup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50701/download/GCP_SAL50701.xlsx,50701
165,Joondanna,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50702/download/GCP_SAL50702.xlsx,50702
166,Kalamunda,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50707/download/GCP_SAL50707.xlsx,50707
167,Kallaroo,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50714/download/GCP_SAL50714.xlsx,50714
168,Karawara,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50724/download/GCP_SAL50724.xlsx,50724
169,Kardinya,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50725/download/GCP_SAL50725.xlsx,50725
170,Karnup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50731/download/GCP_SAL50731.xlsx,50731
171,Karragullen,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50732/download/GCP_SAL50732.xlsx,50732
172,Karrakatta,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50733/download/GCP_SAL50733.xlsx,50733
173,Karrakup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50734/download/GCP_SAL50734.xlsx,50734
174,Karrinyup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50740/download/GCP_SAL50740.xlsx,50740
175,Kelmscott,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50748/download/GCP_SAL50748.xlsx,50748
176,Kensington,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50752/download/GCP_SAL50752.xlsx,50752
177,Kenwick,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50754/download/GCP_SAL50754.xlsx,50754
178,Kewdale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50756/download/GCP_SAL50756.xlsx,50756
179,Keysbrook,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50757/download/GCP_SAL50757.xlsx,50757
180,Kiara,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50758/download/GCP_SAL50758.xlsx,50758
181,Kingsley,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50764/download/GCP_SAL50764.xlsx,50764
182,Kinross,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50766/download/GCP_SAL50766.xlsx,50766
